Date : 2021-09-22 13:52:36
Directory : c:\xampp\htdocs\bloodbank\app
Total : 1042 files,  136698 codes, 34458 comments, 18686 blanks, all 189842 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        954 |    120,767 |     34,392 |     16,955 |    172,114 |
| JSON       |         44 |      9,206 |          0 |         63 |      9,269 |
| Markdown   |         34 |      4,697 |          1 |      1,618 |      6,316 |
| XML        |          4 |      1,889 |          1 |          5 |      1,895 |
| YAML       |          3 |         65 |          0 |         14 |         79 |
| JavaScript |          1 |         33 |         34 |         12 |         79 |
| SQL        |          1 |         32 |         30 |         14 |         76 |
| Makefile   |          1 |          9 |          0 |          5 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |      1,042 |    136,698 |     34,458 |     18,686 |    189,842 |
| controllers                                                                                                             |          6 |      1,237 |        208 |        656 |      2,101 |
| lib                                                                                                                     |        974 |    129,443 |     34,177 |     16,605 |    180,225 |
| lib\Email                                                                                                               |         78 |      6,041 |      3,482 |      1,039 |     10,562 |
| lib\Email\vendor                                                                                                        |         72 |      5,725 |      3,425 |        978 |     10,128 |
| lib\Email\vendor\composer                                                                                               |         10 |        674 |        280 |        139 |      1,093 |
| lib\Email\vendor\phpmailer                                                                                              |         61 |      5,048 |      3,144 |        835 |      9,027 |
| lib\Email\vendor\phpmailer\phpmailer                                                                                    |         61 |      5,048 |      3,144 |        835 |      9,027 |
| lib\Email\vendor\phpmailer\phpmailer\language                                                                           |         52 |      1,018 |        321 |        156 |      1,495 |
| lib\Email\vendor\phpmailer\phpmailer\src                                                                                |          5 |      3,702 |      2,777 |        579 |      7,058 |
| lib\Google Maps                                                                                                         |          7 |        191 |         65 |         47 |        303 |
| lib\Google Maps\db                                                                                                      |          2 |         49 |         30 |         15 |         94 |
| lib\Google Maps\js                                                                                                      |          1 |         33 |         34 |         12 |         79 |
| lib\NIC                                                                                                                 |        363 |     47,316 |      8,283 |      6,387 |     61,986 |
| lib\NIC\bacon                                                                                                           |         74 |      6,692 |      1,574 |      1,569 |      9,835 |
| lib\NIC\bacon\bacon-qr-code                                                                                             |         74 |      6,692 |      1,574 |      1,569 |      9,835 |
| lib\NIC\bacon\bacon-qr-code\src                                                                                         |         60 |      5,180 |      1,485 |      1,287 |      7,952 |
| lib\NIC\bacon\bacon-qr-code\src\Common                                                                                  |         11 |      1,520 |        575 |        351 |      2,446 |
| lib\NIC\bacon\bacon-qr-code\src\Encoder                                                                                 |          6 |      1,106 |        410 |        275 |      1,791 |
| lib\NIC\bacon\bacon-qr-code\src\Exception                                                                               |          6 |         37 |          0 |         19 |         56 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer                                                                                |         36 |      2,481 |        476 |        633 |      3,590 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\Color                                                                          |          5 |        201 |         56 |         64 |        321 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\Eye                                                                            |          5 |        149 |         40 |         41 |        230 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\Image                                                                          |          5 |        942 |         94 |        208 |      1,244 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\Module                                                                         |          6 |        361 |         72 |         99 |        532 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\EdgeIterator                                                            |          2 |        171 |         48 |         52 |        271 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\Path                                                                           |          7 |        379 |        126 |        101 |        606 |
| lib\NIC\bacon\bacon-qr-code\src\Renderer\RendererStyle                                                                  |          5 |        273 |         61 |         71 |        405 |
| lib\NIC\bacon\bacon-qr-code\test                                                                                        |         11 |      1,423 |         89 |        246 |      1,758 |
| lib\NIC\bacon\bacon-qr-code\test\Common                                                                                 |          8 |        533 |         18 |        131 |        682 |
| lib\NIC\bacon\bacon-qr-code\test\Encoder                                                                                |          3 |        890 |         71 |        115 |      1,076 |
| lib\NIC\composer                                                                                                        |         11 |      1,898 |        281 |        147 |      2,326 |
| lib\NIC\dasprid                                                                                                         |         17 |        952 |        259 |        236 |      1,447 |
| lib\NIC\dasprid\enum                                                                                                    |         17 |        952 |        259 |        236 |      1,447 |
| lib\NIC\dasprid\enum\src                                                                                                |         10 |        406 |        218 |        127 |        751 |
| lib\NIC\dasprid\enum\src\Exception                                                                                      |          7 |         49 |          0 |         28 |         77 |
| lib\NIC\dasprid\enum\test                                                                                               |          5 |        378 |         41 |         80 |        499 |
| lib\NIC\doctrine                                                                                                        |          3 |        176 |        160 |         45 |        381 |
| lib\NIC\doctrine\lexer                                                                                                  |          3 |        176 |        160 |         45 |        381 |
| lib\NIC\doctrine\lexer\lib                                                                                              |          1 |        130 |        160 |         39 |        329 |
| lib\NIC\doctrine\lexer\lib\Doctrine                                                                                     |          1 |        130 |        160 |         39 |        329 |
| lib\NIC\doctrine\lexer\lib\Doctrine\Common                                                                              |          1 |        130 |        160 |         39 |        329 |
| lib\NIC\doctrine\lexer\lib\Doctrine\Common\Lexer                                                                        |          1 |        130 |        160 |         39 |        329 |
| lib\NIC\egulias                                                                                                         |         88 |      7,050 |        395 |        727 |      8,172 |
| lib\NIC\egulias\email-validator                                                                                         |         88 |      7,050 |        395 |        727 |      8,172 |
| lib\NIC\egulias\email-validator\src                                                                                     |         84 |      2,436 |        395 |        673 |      3,504 |
| lib\NIC\egulias\email-validator\src\Parser                                                                              |         12 |        885 |         64 |        211 |      1,160 |
| lib\NIC\egulias\email-validator\src\Parser\CommentStrategy                                                              |          3 |         66 |          9 |         17 |         92 |
| lib\NIC\egulias\email-validator\src\Result                                                                              |         38 |        542 |         40 |        160 |        742 |
| lib\NIC\egulias\email-validator\src\Result\Reason                                                                       |         33 |        432 |         15 |        126 |        573 |
| lib\NIC\egulias\email-validator\src\Validation                                                                          |          8 |        320 |        137 |        100 |        557 |
| lib\NIC\egulias\email-validator\src\Validation\Exception                                                                |          1 |         10 |          3 |          4 |         17 |
| lib\NIC\egulias\email-validator\src\Validation\Extra                                                                    |          1 |         34 |          9 |         10 |         53 |
| lib\NIC\egulias\email-validator\src\Warning                                                                             |         21 |        238 |         23 |         90 |        351 |
| lib\NIC\guzzlehttp                                                                                                      |        105 |     11,451 |      4,095 |      2,939 |     18,485 |
| lib\NIC\guzzlehttp\guzzle                                                                                               |         48 |      5,826 |      2,145 |      1,279 |      9,250 |
| lib\NIC\guzzlehttp\guzzle\src                                                                                           |         41 |      3,441 |      2,144 |        763 |      6,348 |
| lib\NIC\guzzlehttp\guzzle\src\Cookie                                                                                    |          5 |        521 |        352 |        112 |        985 |
| lib\NIC\guzzlehttp\guzzle\src\Exception                                                                                 |          9 |        180 |         85 |         55 |        320 |
| lib\NIC\guzzlehttp\guzzle\src\Handler                                                                                   |          9 |      1,264 |        406 |        255 |      1,925 |
| lib\NIC\guzzlehttp\guzzle\vendor-bin                                                                                    |          3 |         28 |          0 |          3 |         31 |
| lib\NIC\guzzlehttp\guzzle\vendor-bin\php-cs-fixer                                                                       |          1 |          9 |          0 |          1 |         10 |
| lib\NIC\guzzlehttp\guzzle\vendor-bin\phpstan                                                                            |          1 |         10 |          0 |          1 |         11 |
| lib\NIC\guzzlehttp\guzzle\vendor-bin\psalm                                                                              |          1 |          9 |          0 |          1 |         10 |
| lib\NIC\guzzlehttp\promises                                                                                             |         22 |      1,518 |        781 |        409 |      2,708 |
| lib\NIC\guzzlehttp\promises\src                                                                                         |         18 |      1,034 |        781 |        221 |      2,036 |
| lib\NIC\guzzlehttp\psr7                                                                                                 |         35 |      4,107 |      1,169 |      1,251 |      6,527 |
| lib\NIC\guzzlehttp\psr7\src                                                                                             |         29 |      3,319 |      1,169 |        819 |      5,307 |
| lib\NIC\guzzlehttp\psr7\vendor-bin                                                                                      |          3 |         28 |          0 |          3 |         31 |
| lib\NIC\guzzlehttp\psr7\vendor-bin\php-cs-fixer                                                                         |          1 |          9 |          0 |          1 |         10 |
| lib\NIC\guzzlehttp\psr7\vendor-bin\phpstan                                                                              |          1 |         10 |          0 |          1 |         11 |
| lib\NIC\guzzlehttp\psr7\vendor-bin\psalm                                                                                |          1 |          9 |          0 |          1 |         10 |
| lib\NIC\psr                                                                                                             |         26 |        331 |      1,206 |        160 |      1,697 |
| lib\NIC\psr\http-client                                                                                                 |          7 |         74 |         40 |         33 |        147 |
| lib\NIC\psr\http-client\src                                                                                             |          4 |         27 |         40 |         15 |         82 |
| lib\NIC\psr\http-factory                                                                                                |          9 |         93 |         98 |         26 |        217 |
| lib\NIC\psr\http-factory\src                                                                                            |          6 |         44 |         98 |         20 |        162 |
| lib\NIC\psr\http-message                                                                                                |         10 |        164 |      1,068 |        101 |      1,333 |
| lib\NIC\psr\http-message\src                                                                                            |          7 |        105 |      1,068 |         83 |      1,256 |
| lib\NIC\ralouphie                                                                                                       |          3 |         78 |          5 |         19 |        102 |
| lib\NIC\ralouphie\getallheaders                                                                                         |          3 |         78 |          5 |         19 |        102 |
| lib\NIC\ralouphie\getallheaders\src                                                                                     |          1 |         34 |          5 |          8 |         47 |
| lib\NIC\slwdc                                                                                                           |          6 |        261 |          0 |         89 |        350 |
| lib\NIC\slwdc\nic-parser                                                                                                |          6 |        261 |          0 |         89 |        350 |
| lib\NIC\slwdc\nic-parser\src                                                                                            |          4 |        151 |          0 |         58 |        209 |
| lib\NIC\slwdc\nic-parser\src\Exception                                                                                  |          2 |          8 |          0 |         12 |         20 |
| lib\NIC\symfony                                                                                                         |         29 |     18,424 |        307 |        452 |     19,183 |
| lib\NIC\symfony\polyfill-intl-idn                                                                                       |         15 |     10,288 |        234 |        307 |     10,829 |
| lib\NIC\symfony\polyfill-intl-idn\Resources                                                                             |          9 |      9,426 |         11 |        112 |      9,549 |
| lib\NIC\symfony\polyfill-intl-idn\Resources\unidata                                                                     |          9 |      9,426 |         11 |        112 |      9,549 |
| lib\NIC\symfony\polyfill-intl-normalizer                                                                                |         10 |      7,881 |         45 |         87 |      8,013 |
| lib\NIC\symfony\polyfill-intl-normalizer\Resources                                                                      |          5 |      7,590 |          3 |         10 |      7,603 |
| lib\NIC\symfony\polyfill-intl-normalizer\Resources\stubs                                                                |          1 |         13 |          3 |          2 |         18 |
| lib\NIC\symfony\polyfill-intl-normalizer\Resources\unidata                                                              |          4 |      7,577 |          0 |          8 |      7,585 |
| lib\NIC\symfony\polyfill-php72                                                                                          |          4 |        255 |         28 |         58 |        341 |
| lib\PDF                                                                                                                 |        251 |     55,573 |     17,957 |      4,379 |     77,909 |
| lib\PDF\composer                                                                                                        |         10 |        683 |        280 |        137 |      1,100 |
| lib\PDF\tecnickcom                                                                                                      |        237 |     53,759 |     17,666 |      4,225 |     75,650 |
| lib\PDF\tecnickcom\tcpdf                                                                                                |        237 |     53,759 |     17,666 |      4,225 |     75,650 |
| lib\PDF\tecnickcom\tcpdf\config                                                                                         |          1 |         29 |        159 |         40 |        228 |
| lib\PDF\tecnickcom\tcpdf\examples                                                                                       |        138 |      6,299 |      5,906 |      2,644 |     14,849 |
| lib\PDF\tecnickcom\tcpdf\examples\barcodes                                                                              |         18 |         98 |        756 |        104 |        958 |
| lib\PDF\tecnickcom\tcpdf\examples\config                                                                                |          1 |         33 |        152 |         38 |        223 |
| lib\PDF\tecnickcom\tcpdf\examples\images                                                                                |          3 |      1,882 |          1 |          4 |      1,887 |
| lib\PDF\tecnickcom\tcpdf\examples\lang                                                                                  |         48 |        336 |      1,440 |        384 |      2,160 |
| lib\PDF\tecnickcom\tcpdf\fonts                                                                                          |         80 |      1,250 |        166 |         88 |      1,504 |
| lib\PDF\tecnickcom\tcpdf\include                                                                                        |          9 |     25,972 |      3,563 |        554 |     30,089 |
| lib\PDF\tecnickcom\tcpdf\include\barcodes                                                                               |          3 |      3,193 |      1,549 |        275 |      5,017 |
| lib\PDF\tecnickcom\tcpdf\tools                                                                                          |          1 |        183 |         54 |         33 |        270 |
| lib\QR                                                                                                                  |        102 |      8,366 |      2,114 |      1,948 |     12,428 |
| lib\QR\bacon                                                                                                            |         74 |      6,692 |      1,574 |      1,569 |      9,835 |
| lib\QR\bacon\bacon-qr-code                                                                                              |         74 |      6,692 |      1,574 |      1,569 |      9,835 |
| lib\QR\bacon\bacon-qr-code\src                                                                                          |         60 |      5,180 |      1,485 |      1,287 |      7,952 |
| lib\QR\bacon\bacon-qr-code\src\Common                                                                                   |         11 |      1,520 |        575 |        351 |      2,446 |
| lib\QR\bacon\bacon-qr-code\src\Encoder                                                                                  |          6 |      1,106 |        410 |        275 |      1,791 |
| lib\QR\bacon\bacon-qr-code\src\Exception                                                                                |          6 |         37 |          0 |         19 |         56 |
| lib\QR\bacon\bacon-qr-code\src\Renderer                                                                                 |         36 |      2,481 |        476 |        633 |      3,590 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\Color                                                                           |          5 |        201 |         56 |         64 |        321 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\Eye                                                                             |          5 |        149 |         40 |         41 |        230 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\Image                                                                           |          5 |        942 |         94 |        208 |      1,244 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\Module                                                                          |          6 |        361 |         72 |         99 |        532 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\Module\EdgeIterator                                                             |          2 |        171 |         48 |         52 |        271 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\Path                                                                            |          7 |        379 |        126 |        101 |        606 |
| lib\QR\bacon\bacon-qr-code\src\Renderer\RendererStyle                                                                   |          5 |        273 |         61 |         71 |        405 |
| lib\QR\bacon\bacon-qr-code\test                                                                                         |         11 |      1,423 |         89 |        246 |      1,758 |
| lib\QR\bacon\bacon-qr-code\test\Common                                                                                  |          8 |        533 |         18 |        131 |        682 |
| lib\QR\bacon\bacon-qr-code\test\Encoder                                                                                 |          3 |        890 |         71 |        115 |      1,076 |
| lib\QR\composer                                                                                                         |         10 |        719 |        280 |        139 |      1,138 |
| lib\QR\dasprid                                                                                                          |         17 |        952 |        259 |        236 |      1,447 |
| lib\QR\dasprid\enum                                                                                                     |         17 |        952 |        259 |        236 |      1,447 |
| lib\QR\dasprid\enum\src                                                                                                 |         10 |        406 |        218 |        127 |        751 |
| lib\QR\dasprid\enum\src\Exception                                                                                       |          7 |         49 |          0 |         28 |         77 |
| lib\QR\dasprid\enum\test                                                                                                |          5 |        378 |         41 |         80 |        499 |
| lib\QrCode                                                                                                              |        168 |     10,737 |      2,246 |      2,714 |     15,697 |
| lib\QrCode\bacon                                                                                                        |         74 |      6,692 |      1,574 |      1,569 |      9,835 |
| lib\QrCode\bacon\bacon-qr-code                                                                                          |         74 |      6,692 |      1,574 |      1,569 |      9,835 |
| lib\QrCode\bacon\bacon-qr-code\src                                                                                      |         60 |      5,180 |      1,485 |      1,287 |      7,952 |
| lib\QrCode\bacon\bacon-qr-code\src\Common                                                                               |         11 |      1,520 |        575 |        351 |      2,446 |
| lib\QrCode\bacon\bacon-qr-code\src\Encoder                                                                              |          6 |      1,106 |        410 |        275 |      1,791 |
| lib\QrCode\bacon\bacon-qr-code\src\Exception                                                                            |          6 |         37 |          0 |         19 |         56 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer                                                                             |         36 |      2,481 |        476 |        633 |      3,590 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\Color                                                                       |          5 |        201 |         56 |         64 |        321 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\Eye                                                                         |          5 |        149 |         40 |         41 |        230 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\Image                                                                       |          5 |        942 |         94 |        208 |      1,244 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\Module                                                                      |          6 |        361 |         72 |         99 |        532 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\Module\EdgeIterator                                                         |          2 |        171 |         48 |         52 |        271 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\Path                                                                        |          7 |        379 |        126 |        101 |        606 |
| lib\QrCode\bacon\bacon-qr-code\src\Renderer\RendererStyle                                                               |          5 |        273 |         61 |         71 |        405 |
| lib\QrCode\bacon\bacon-qr-code\test                                                                                     |         11 |      1,423 |         89 |        246 |      1,758 |
| lib\QrCode\bacon\bacon-qr-code\test\Common                                                                              |          8 |        533 |         18 |        131 |        682 |
| lib\QrCode\bacon\bacon-qr-code\test\Encoder                                                                             |          3 |        890 |         71 |        115 |      1,076 |
| lib\QrCode\composer                                                                                                     |         10 |        812 |        280 |        139 |      1,231 |
| lib\QrCode\dasprid                                                                                                      |         17 |        952 |        259 |        236 |      1,447 |
| lib\QrCode\dasprid\enum                                                                                                 |         17 |        952 |        259 |        236 |      1,447 |
| lib\QrCode\dasprid\enum\src                                                                                             |         10 |        406 |        218 |        127 |        751 |
| lib\QrCode\dasprid\enum\src\Exception                                                                                   |          7 |         49 |          0 |         28 |         77 |
| lib\QrCode\dasprid\enum\test                                                                                            |          5 |        378 |         41 |         80 |        499 |
| lib\QrCode\endroid                                                                                                      |         66 |      2,278 |        132 |        766 |      3,176 |
| lib\QrCode\endroid\qr-code                                                                                              |         66 |      2,278 |        132 |        766 |      3,176 |
| lib\QrCode\endroid\qr-code\.github                                                                                      |          2 |         58 |          0 |         13 |         71 |
| lib\QrCode\endroid\qr-code\.github\workflows                                                                            |          1 |         57 |          0 |         12 |         69 |
| lib\QrCode\endroid\qr-code\src                                                                                          |         58 |      1,800 |         94 |        657 |      2,551 |
| lib\QrCode\endroid\qr-code\src\Bacon                                                                                    |          2 |         51 |          0 |         13 |         64 |
| lib\QrCode\endroid\qr-code\src\Builder                                                                                  |          4 |        246 |         14 |         99 |        359 |
| lib\QrCode\endroid\qr-code\src\Color                                                                                    |          2 |         58 |          5 |         23 |         86 |
| lib\QrCode\endroid\qr-code\src\Encoding                                                                                 |          2 |         25 |          1 |         11 |         37 |
| lib\QrCode\endroid\qr-code\src\ErrorCorrectionLevel                                                                     |          5 |         30 |          0 |         20 |         50 |
| lib\QrCode\endroid\qr-code\src\ImageData                                                                                |          2 |        155 |         15 |         54 |        224 |
| lib\QrCode\endroid\qr-code\src\Label                                                                                    |         12 |        247 |         15 |        101 |        363 |
| lib\QrCode\endroid\qr-code\src\Label\Alignment                                                                          |          4 |         24 |          0 |         16 |         40 |
| lib\QrCode\endroid\qr-code\src\Label\Font                                                                               |          4 |         74 |          4 |         29 |        107 |
| lib\QrCode\endroid\qr-code\src\Label\Margin                                                                             |          2 |         53 |          6 |         21 |         80 |
| lib\QrCode\endroid\qr-code\src\Logo                                                                                     |          2 |         67 |          4 |         28 |         99 |
| lib\QrCode\endroid\qr-code\src\Matrix                                                                                   |          3 |         89 |          7 |         37 |        133 |
| lib\QrCode\endroid\qr-code\src\RoundBlockSizeMode                                                                       |          5 |         30 |          0 |         20 |         50 |
| lib\QrCode\endroid\qr-code\src\Writer                                                                                   |         16 |        662 |         25 |        198 |        885 |
| lib\QrCode\endroid\qr-code\src\Writer\Result                                                                            |          8 |        210 |         14 |         76 |        300 |
